Time,CH1_mV,CH2_mV
0.0,-0.002161,-0.001729
0.005,-0.00167,0.00702
0.01,-0.001914,-0.014974
0.015,0.004985,-0.002673
0.02,-0.003254,0.001159
0.025,0.003484,0.011636
0.03,0.00985,0.001105
0.035,-0.011075,-0.010147
0.04,0.003695,0.013111
0.045,0.000625,-0.001063
0.05,0.007977,-0.014535
0.055,-0.004684,0.004904
0.06,0.013101,-0.002406
0.065,0.005649,0.002482
0.07,0.011735,-0.011132
0.075,0.008524,-0.015145
0.08,-0.039299,-0.006069
0.085,-0.013737,0.00876
0.09,0.009964,-0.012191
0.095,0.01271,-0.010022
0.1,-0.001294,-0.002939
0.105,0.001716,0.008186
0.11,0.009576,0.003499
0.115,0.009749,0.004785
0.12,-0.009405,-0.007174
0.125,-0.00705,0.004993
0.13,-0.003752,0.023358
0.135,-0.012289,-0.010989
0.14,0.011527,0.014218
0.145,0.007585,0.008358
0.15,0.021395,-0.00094
0.155,-0.021344,-0.005321
0.16,0.014293,-0.014437
0.165,0.000503,0.002532
0.17,-0.004734,0.007236
0.175,0.008712,0.023214
0.18,0.0093,-0.006094
0.185,-0.008427,-0.008316
0.19,0.014284,-0.005668
0.195,-0.001054,0.007493
0.2,-0.010852,-0.002937
0.205,-0.027619,-0.010825
0.21,-0.008516,0.004158
0.215,0.017902,-0.000185
0.22,0.00392,0.00168
0.225,0.016271,0.008934
0.23,0.004105,-0.010109
0.235,0.013551,0.00381
0.24,0.018404,-0.000299
0.245,0.029297,-0.003589
0.25,0.023896,0.001151
0.255,-0.007744,-0.011284
0.26,-0.002265,0.014233
0.265,0.012246,0.006889
0.27,-0.035638,0.00711
0.275,0.008338,-0.005499
0.28,-0.009411,-2.3e-05
0.285,0.025873,-0.010551
0.29,-0.006417,0.013618
0.295,-0.006692,-0.003643
0.3,0.001467,-0.012413
0.305,0.003299,-0.012096
0.31,0.013278,3.2e-05
0.315,0.034251,0.002808
0.32,0.020485,-0.013033
0.325,-0.001832,0.003231
0.33,0.026186,-0.016809
0.335,0.014859,0.005914
0.34,0.023003,0.007124
0.345,0.000781,-0.005216
0.35,-0.018723,0.001954
0.355,-0.002875,0.020203
0.36,-0.009165,0.003204
0.365,-0.023535,-0.003955
0.37,0.003917,0.00824
0.375,0.021722,-0.000441
0.38,-0.016759,0.004579
0.385,0.007755,0.004917
0.39,-0.010504,0.011334
0.395,0.001318,0.006998
0.4,0.019111,0.006093
0.405,0.004298,0.021528
0.41,0.003656,-0.00296
0.415,0.00168,0.014828
0.42,0.001781,0.005194
0.425,0.017936,-0.005129
0.43,-0.025899,0.002994
0.435,0.003446,-0.00608
0.44,0.013066,0.006076
0.445,-0.014925,0.005182
0.45,-0.002942,-0.01483
0.455,0.006794,-0.000452
0.46,-0.011179,0.005229
0.465,0.007321,-0.005775
0.47,0.006005,0.010151
0.475,-0.01069,0.003809
0.48,4.1e-05,0.02266
0.485,-0.027935,0.006953
0.49,-0.004594,-0.001002
0.495,0.028524,-8.6e-05
0.5,0.033614,-0.004421
0.505,0.005258,-0.004908
0.51,-0.01036,0.000625
0.515,-0.004239,0.002025
0.52,-0.031575,0.020025
0.525,-0.002505,0.017429
0.53,-0.015107,0.002925
0.535,0.047474,-0.008697
0.54,-0.022429,-0.005465
0.545,0.007087,0.006933
0.55,0.019356,-0.00257
0.555,-0.024034,-0.00435
0.56,0.018603,0.004657
0.565,-0.029354,-0.000351
0.57,0.020973,0.021265
0.575,0.008425,0.003093
0.58,-0.018603,-0.008432
0.585,0.000704,0.005032
0.59,0.008703,-0.004782
0.595,-0.017279,-0.007778
0.6,-0.017355,0.006434
0.605,-0.034684,-0.003333
0.61,0.006748,0.01522
0.615,0.001069,0.010013
0.62,-0.005985,-0.007444
0.625,-0.010116,0.015273
0.63,0.014913,0.004874
0.635,0.049954,-0.000323
0.64,0.009305,0.003076
0.645,-0.003328,0.023162
0.65,0.022599,-0.013995
0.655,-0.005998,0.004283
0.66,0.011748,-0.013484
0.665,-0.033833,-0.019064
0.67,-0.001067,-0.001032
0.675,0.005178,-0.007697
0.68,-0.018364,-0.02023
0.685,0.004938,0.003701
0.69,0.014895,0.007908
0.695,-0.002861,0.013493
0.7,-0.002046,-0.006608
0.705,-0.007809,-0.005848
0.71,-0.032486,0.001563
0.715,0.003748,-0.003623
0.72,-0.010708,0.003718
0.725,0.025753,0.000383
0.73,-0.007615,-0.005914
0.735,-0.001046,-0.012648
0.74,-0.001879,0.000612
0.745,0.02767,0.009435
0.75,0.01551,-0.007129
0.755,0.010049,-0.011394
0.76,0.004679,0.004187
0.765,-0.011496,0.019994
0.77,0.008511,-0.019027
0.775,0.008293,-0.004074
0.78,2.1e-05,0.004658
0.785,0.005858,-0.020392
0.79,-0.017375,0.007726
0.795,0.019518,0.019032
0.8,0.027048,-0.020555
0.805,0.011542,-0.019163
0.81,0.024204,0.002533
0.815,-0.017118,0.020099
0.82,0.00966,-0.018911
0.825,0.004402,-0.007311
0.83,0.001669,-0.004652
0.835,0.020602,-0.014233
0.84,0.004761,0.018142
0.845,-0.012404,0.002106
0.85,0.00303,-0.006897
0.855,0.009718,0.000971
0.86,-0.014157,0.01762
0.865,0.011874,-0.001671
0.87,-0.00955,-0.007844
0.875,0.018464,-0.001465
0.88,0.006892,-0.001845
0.885,0.009246,-0.00116
0.89,0.011458,-0.001832
0.895,0.012444,0.006724
0.9,-0.001749,-0.008598
0.905,-0.014102,-0.007407
0.91,-0.014767,0.008658
0.915,-0.000699,0.015701
0.92,0.03419,0.000242
0.925,-0.02322,-0.003815
0.93,-0.00113,-0.014884
0.935,-0.003757,0.002869
0.94,-0.006891,-0.007684
0.945,-0.011381,0.017867
0.95,-0.002395,-0.008299
0.955,-0.005593,0.009543
0.96,-0.01027,0.004818
0.965,0.010918,0.007491
0.97,0.020995,-0.005505
0.975,0.016991,-0.007929
0.98,-0.005948,0.011961
0.985,0.012336,2.1e-05
0.99,-0.017871,0.005617
0.995,-0.009456,-0.009239
1.0,-0.009722,0.002465
