Time,SmO2,THb
0.0,67.9,12.47
0.5,67.8,12.48
1.0,67.7,12.49
1.5,67.9,12.53
2.0,67.7,12.52
2.5,68.0,12.52
3.0,68.1,12.48
3.5,68.1,12.5
4.0,67.2,12.73
4.5,66.9,12.77
5.0,66.7,12.89
5.5,66.7,12.99
6.0,66.0,13.09
6.5,66.2,13.13
7.0,66.3,13.18
7.5,66.6,13.17
8.0,66.5,13.19
8.5,66.6,13.16
9.0,66.0,13.38
9.5,65.5,13.51
10.0,64.9,13.52
10.5,64.4,13.59
11.0,63.8,13.7
11.5,63.0,13.86
12.0,63.0,13.86
12.5,63.2,13.85
13.0,63.1,13.78
13.5,63.1,13.82
14.0,62.9,13.74
14.5,62.6,13.79
15.0,62.1,13.94
15.5,61.9,14.03
16.0,61.5,14.08
16.5,61.2,14.17
17.0,60.4,14.3
17.5,59.8,14.46
18.0,59.9,14.36
18.5,59.8,14.42
19.0,60.1,14.36
19.5,60.1,14.36
20.0,60.0,14.41
20.5,60.0,14.42
21.0,59.5,14.52
21.5,58.8,14.47
22.0,58.4,14.49
22.5,58.0,14.63
23.0,58.0,14.72
23.5,57.4,14.81
24.0,57.6,14.81
24.5,57.5,14.92
25.0,57.3,14.98
25.5,57.3,14.98
26.0,57.2,14.95
26.5,57.5,14.99
27.0,57.5,14.94
27.5,57.2,15.11
28.0,56.8,15.17
28.5,56.4,15.26
29.0,55.8,15.41
29.5,54.6,15.5
30.0,54.5,15.5
30.5,54.6,15.5
31.0,54.8,15.5
31.5,54.6,15.5
32.0,54.6,15.44
32.5,54.4,15.44
33.0,54.2,15.5
33.5,54.2,15.47
34.0,54.1,15.5
34.5,53.4,15.5
35.0,52.7,15.5
35.5,52.0,15.5
36.0,51.6,15.5
36.5,51.3,15.5
37.0,51.3,15.42
37.5,51.3,15.4
38.0,51.3,15.38
38.5,51.4,15.3
39.0,51.5,15.34
39.5,51.5,15.45
40.0,51.6,15.4
40.5,51.8,15.44
41.0,51.3,15.5
41.5,50.9,15.5
42.0,50.3,15.5
42.5,49.4,15.5
43.0,48.9,15.5
43.5,48.3,15.5
44.0,48.3,15.5
44.5,48.3,15.47
45.0,48.3,15.47
45.5,48.5,15.48
46.0,48.5,15.5
46.5,48.8,15.5
47.0,48.7,15.5
47.5,49.0,15.5
48.0,48.2,15.5
48.5,47.7,15.5
49.0,47.7,15.5
49.5,47.3,15.5
50.0,46.3,15.5
50.5,46.3,15.48
51.0,46.8,15.5
51.5,46.8,15.5
52.0,46.8,15.5
52.5,47.0,15.45
53.0,46.8,15.5
53.5,47.0,15.42
54.0,47.1,15.36
54.5,46.5,15.41
55.0,46.5,15.5
55.5,45.7,15.5
56.0,45.1,15.5
56.5,44.5,15.5
57.0,44.1,15.5
57.5,44.4,15.49
58.0,44.7,15.5
58.5,44.7,15.5
59.0,44.6,15.49
59.5,44.5,15.45
60.0,44.6,15.5
60.5,44.6,15.5
61.0,44.4,15.48
61.5,44.4,15.5
